id;premises;target_sentence;conclusion;gold_label;item_id;context_condition;target_variant;response_option
exp1_01_pb_n_d_twice;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;neutral;1;neutral;b;twice
exp1_01_pb_n_d_cannot_say;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.;neutral;1;neutral;b;cannot say
exp1_01_na_p_f_once;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;entailment;1;positive;a;once
exp1_01_na_p_f_twice;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;neutral;1;positive;a;twice
exp1_01_na_p_f_cannot_say;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;neutral;1;positive;a;cannot say
exp1_01_na_n_d_once;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;neutral;1;neutral;a;once
exp1_01_na_n_d_twice;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;entailment;1;neutral;a;twice
exp1_01_na_n_d_cannot_say;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;neutral;1;neutral;a;cannot say
exp1_01_nb_p_f_once;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;entailment;1;positive;b;once
exp1_01_nb_p_f_twice;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;neutral;1;positive;b;twice
exp1_01_nb_p_f_cannot_say;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.;neutral;1;positive;b;cannot say
exp1_01_nb_n_d_once;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;neutral;1;neutral;b;once
exp1_01_nb_n_d_twice;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;entailment;1;neutral;b;twice
exp1_01_nb_n_d_cannot_say;Letzte Woche hat Judith Linda eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;neutral;1;neutral;b;cannot say
exp1_02_pa_p_f_once;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat einmal ein schones Geschenk empfangen.;neutral;2;positive;a;once
exp1_02_pa_p_f_twice;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat mindestens zweimal ein schones Geschenk empfangen.;entailment;2;positive;a;twice
exp1_02_pa_p_f_cannot_say;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Timo ein schones Geschenk empfangen hat.;neutral;2;positive;a;cannot say
exp1_02_pa_n_d_once;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat einmal ein schones Geschenk empfangen.;entailment;2;neutral;a;once
exp1_02_pa_n_d_twice;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat mindestens zweimal ein schones Geschenk empfangen.;neutral;2;neutral;a;twice
exp1_02_pa_n_d_cannot_say;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Linda ein schones Geschenk empfangen hat.;neutral;2;neutral;a;cannot say
exp1_02_pb_p_f_once;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat einmal ein schones Geschenk gemacht.;neutral;2;positive;b;once
exp1_02_pb_p_f_twice;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat mindestens zweimal ein schones Geschenk gemacht.;entailment;2;positive;b;twice
exp1_02_pb_p_f_cannot_say;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Timo ein schones Geschenk gemacht hat.;neutral;2;positive;b;cannot say
exp1_02_pb_n_d_once;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat einmal ein schones Geschenk gemacht.;entailment;2;neutral;b;once
exp1_02_pb_n_d_twice;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat mindestens zweimal ein schones Geschenk gemacht.;neutral;2;neutral;b;twice
exp1_02_pb_n_d_cannot_say;Letztes Jahr hat Linda Timo ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Linda ein schones Geschenk gemacht hat.;neutral;2;neutral;b;cannot say
exp1_02_na_p_f_once;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat einmal ein schones Geschenk empfangen.;entailment;2;positive;a;once
exp1_02_na_p_f_twice;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat mindestens zweimal ein schones Geschenk empfangen.;neutral;2;positive;a;twice
exp1_02_na_p_f_cannot_say;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Linda ein schones Geschenk empfangen hat.;neutral;2;positive;a;cannot say
exp1_02_na_n_d_once;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat einmal ein schones Geschenk empfangen.;neutral;2;neutral;a;once
exp1_02_na_n_d_twice;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat mindestens zweimal ein schones Geschenk empfangen.;entailment;2;neutral;a;twice
exp1_02_na_n_d_cannot_say;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Timo ein schones Geschenk empfangen hat.;neutral;2;neutral;a;cannot say
exp1_02_nb_p_f_once;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat einmal ein schones Geschenk gemacht.;entailment;2;positive;b;once
exp1_02_nb_p_f_twice;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Linda hat mindestens zweimal ein schones Geschenk gemacht.;neutral;2;positive;b;twice
exp1_02_nb_p_f_cannot_say;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Linda wieder ein schones Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Linda ein schones Geschenk gemacht hat.;neutral;2;positive;b;cannot say
exp1_02_nb_n_d_once;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat einmal ein schones Geschenk gemacht.;neutral;2;neutral;b;once
exp1_02_nb_n_d_twice;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Timo hat mindestens zweimal ein schones Geschenk gemacht.;entailment;2;neutral;b;twice
exp1_02_nb_n_d_cannot_say;Letztes Jahr hat Timo Linda ein schones Geschenk zum Geburtstag gebastelt.;Vor einer Woche hat Timo wieder ein schones Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.;Es lässt sich nicht sagen, wie oft Timo ein schones Geschenk gemacht hat.;neutral;2;neutral;b;cannot say
exp1_03_pa_p_f_once;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Linda hat einmal ein selbstgeschriebenes Lied gehort.;neutral;3;positive;a;once
exp1_03_pa_p_f_twice;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehort.;entailment;3;positive;a;twice
exp1_03_pa_p_f_cannot_say;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehort hat.;neutral;3;positive;a;cannot say
exp1_03_pa_n_d_once;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Thorsten hat einmal ein selbstgeschriebenes Lied gehort.;entailment;3;neutral;a;once
exp1_03_pa_n_d_twice;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehort.;neutral;3;neutral;a;twice
exp1_03_pa_n_d_cannot_say;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehort hat.;neutral;3;neutral;a;cannot say
exp1_03_pb_p_f_once;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Linda hat einmal ein selbstgeschriebenes Lied gesungen.;neutral;3;positive;b;once
exp1_03_pb_p_f_twice;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.;entailment;3;positive;b;twice
exp1_03_pb_p_f_cannot_say;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.;neutral;3;positive;b;cannot say
exp1_03_pb_n_d_once;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.;entailment;3;neutral;b;once
exp1_03_pb_n_d_twice;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.;neutral;3;neutral;b;twice
exp1_03_pb_n_d_cannot_say;Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gesungen hat.;neutral;3;neutral;b;cannot say
exp1_03_na_p_f_once;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Thorsten hat einmal ein selbstgeschriebenes Lied gehort.;entailment;3;positive;a;once
exp1_03_na_p_f_twice;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehort.;neutral;3;positive;a;twice
exp1_03_na_p_f_cannot_say;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehort, als er bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehort hat.;neutral;3;positive;a;cannot say
exp1_03_na_n_d_once;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Linda hat einmal ein selbstgeschriebenes Lied gehort.;neutral;3;neutral;a;once
exp1_03_na_n_d_twice;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehort.;entailment;3;neutral;a;twice
exp1_03_na_n_d_cannot_say;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehort, als sie bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehort hat.;neutral;3;neutral;a;cannot say
exp1_03_nb_p_f_once;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.;entailment;3;positive;b;once
exp1_03_nb_p_f_twice;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.;neutral;3;positive;b;twice
exp1_03_nb_p_f_cannot_say;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gesungen hat.;neutral;3;positive;b;cannot say
exp1_03_nb_n_d_once;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Linda hat einmal ein selbstgeschriebenes Lied gesungen.;neutral;3;neutral;b;once
exp1_03_nb_n_d_twice;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.;entailment;3;neutral;b;twice
exp1_03_nb_n_d_cannot_say;Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.;Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.;Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.;neutral;3;neutral;b;cannot say
exp1_04_pa_p_f_once;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Linda hat einmal eine rote Rose bekommen.;neutral;4;positive;a;once
exp1_04_pa_p_f_twice;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Linda hat mindestens zweimal eine rote Rose bekommen.;entailment;4;positive;a;twice
exp1_04_pa_p_f_cannot_say;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Linda eine rote Rose bekommen hat.;neutral;4;positive;a;cannot say
exp1_04_pa_n_d_once;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Karl hat einmal eine rote Rose bekommen.;entailment;4;neutral;a;once
exp1_04_pa_n_d_twice;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Karl hat mindestens zweimal eine rote Rose bekommen.;neutral;4;neutral;a;twice
exp1_04_pa_n_d_cannot_say;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Karl eine rote Rose bekommen hat.;neutral;4;neutral;a;cannot say
exp1_04_pb_p_f_once;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose vergeben, als sie zu einem Date verabredet war.;Linda hat einmal eine rote Rose vergeben.;neutral;4;positive;b;once
exp1_04_pb_p_f_twice;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose vergeben, als sie zu einem Date verabredet war.;Linda hat mindestens zweimal eine rote Rose vergeben.;entailment;4;positive;b;twice
exp1_04_pb_p_f_cannot_say;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose vergeben, als sie zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Linda eine rote Rose vergeben hat.;neutral;4;positive;b;cannot say
exp1_04_pb_n_d_once;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.;Karl hat einmal eine rote Rose vergeben.;entailment;4;neutral;b;once
exp1_04_pb_n_d_twice;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.;Karl hat mindestens zweimal eine rote Rose vergeben.;neutral;4;neutral;b;twice
exp1_04_pb_n_d_cannot_say;Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Karl eine rote Rose vergeben hat.;neutral;4;neutral;b;cannot say
exp1_04_na_p_f_once;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Karl hat einmal eine rote Rose bekommen.;entailment;4;positive;a;once
exp1_04_na_p_f_twice;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Karl hat mindestens zweimal eine rote Rose bekommen.;neutral;4;positive;a;twice
exp1_04_na_p_f_cannot_say;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Karl eine rote Rose bekommen hat.;neutral;4;positive;a;cannot say
exp1_04_na_n_d_once;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Linda hat einmal eine rote Rose bekommen.;neutral;4;neutral;a;once
exp1_04_na_n_d_twice;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Linda hat mindestens zweimal eine rote Rose bekommen.;entailment;4;neutral;a;twice
exp1_04_na_n_d_cannot_say;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.;Es lässt sich nicht sagen, wie oft Linda eine rote Rose bekommen hat.;neutral;4;neutral;a;cannot say
exp1_04_nb_p_f_once;Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.;Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.;Karl hat einmal eine rote Rose vergeben.;entailment;4;positive;b;once
