premises,target_sentence,item_id,context,target,brace,condition,task_id,critical,sentence_surprisal,wieder_surprisal,word_surprisal,critical_surprisal
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",2,aii,bii,2,neutral,7,gemacht,71.5,4.53125,"[('Vor', 17.88671875), ('einer', 3.484375), ('Woche', 0.248046875), ('hat', 1.2265625), ('Linda', 3.125), ('wieder', 4.53125), ('ein', 1.09375), ('schönes', 3.0), ('Geschenk', 0.177734375), ('gemacht', 3.296875), (',', 1.71875), ('weil', 2.515625), ('sie', 2.1875), ('bei', 7.25), ('einer', 2.84375), ('Wichtelaktion', 12.8515625), ('mitgemacht', 3.320068359375), ('hat', 0.060546875), ('.', 0.73046875)]",3.296875
Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",3,ai,bi,1,neutral,8,gehört,68.0,5.5625,"[('Vor', 17.8515625), ('drei', 3.59375), ('Wochen', 2.4375), ('hat', 1.5078125), ('Linda', 2.21875), ('wieder', 5.5625), ('ein', 1.8359375), ('selbstgeschriebenes', 2.143035888671875), ('Lied', 0.023193359375), ('gehört', 7.5625), (',', 1.34375), ('als', 2.75), ('sie', 0.5859375), ('bei', 2.515625), ('einer', 2.65625), ('Freundin', 3.476531982421875), ('daheim', 8.9140625), ('war', 0.41015625), ('.', 0.73828125)]",7.5625
Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",3,ai,bi,2,positive,8,gehört,72.0,5.1875,"[('Vor', 17.8515625), ('drei', 3.59375), ('Wochen', 2.4375), ('hat', 1.5078125), ('Thorsten', 3.6717529296875), ('wieder', 5.1875), ('ein', 2.890625), ('selbstgeschriebenes', 2.96478271484375), ('Lied', 0.038330078125), ('gehört', 6.1875), (',', 1.3125), ('als', 2.40625), ('er', 1.265625), ('bei', 3.140625), ('einer', 2.96875), ('Freundin', 4.335693359375), ('daheim', 8.96875), ('war', 0.390625), ('.', 0.74609375)]",6.1875
Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",3,ai,bii,1,positive,9,gesungen,67.0,5.5625,"[('Vor', 17.8515625), ('drei', 3.59375), ('Wochen', 2.4375), ('hat', 1.5078125), ('Linda', 2.21875), ('wieder', 5.5625), ('ein', 1.8359375), ('selbstgeschriebenes', 2.143035888671875), ('Lied', 0.023193359375), ('gesungen', 1.998046875), (',', 1.8125), ('als', 4.28125), ('sie', 0.75390625), ('bei', 2.71875), ('einer', 2.375), ('Freundin', 5.335693359375), ('daheim', 9.171875), ('war', 0.50390625), ('.', 0.76171875)]",1.998046875
Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",3,ai,bii,2,neutral,9,gesungen,72.0,5.1875,"[('Vor', 17.8515625), ('drei', 3.59375), ('Wochen', 2.4375), ('hat', 1.5078125), ('Thorsten', 3.6717529296875), ('wieder', 5.1875), ('ein', 2.890625), ('selbstgeschriebenes', 2.96478271484375), ('Lied', 0.038330078125), ('gesungen', 2.4814453125), (',', 1.828125), ('als', 4.25), ('er', 1.484375), ('bei', 2.984375), ('einer', 2.4375), ('Freundin', 6.0439453125), ('daheim', 8.9375), ('war', 0.64453125), ('.', 0.76953125)]",2.4814453125
Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",3,aii,bi,1,positive,10,gehört,69.0,4.625,"[('Vor', 17.49609375), ('drei', 3.734375), ('Wochen', 2.640625), ('hat', 1.6796875), ('Linda', 3.5625), ('wieder', 4.625), ('ein', 1.7734375), ('selbstgeschriebenes', 2.93743896484375), ('Lied', 0.03076171875), ('gehört', 7.125), (',', 1.375), ('als', 2.8125), ('sie', 1.1015625), ('bei', 2.890625), ('einer', 2.625), ('Freundin', 3.023406982421875), ('daheim', 8.7578125), ('war', 0.42578125), ('.', 0.6328125)]",7.125
Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",3,aii,bi,2,neutral,10,gehört,71.0,6.25,"[('Vor', 17.49609375), ('drei', 3.734375), ('Wochen', 2.640625), ('hat', 1.6796875), ('Thorsten', 2.7655029296875), ('wieder', 6.25), ('ein', 1.8359375), ('selbstgeschriebenes', 2.63665771484375), ('Lied', 0.03076171875), ('gehört', 7.1875), (',', 1.5703125), ('als', 2.9375), ('er', 0.81640625), ('bei', 2.984375), ('einer', 2.71875), ('Freundin', 3.1092529296875), ('daheim', 9.2890625), ('war', 0.44140625), ('.', 0.69921875)]",7.1875
Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",3,aii,bii,1,neutral,11,gesungen,68.5,4.625,"[('Vor', 17.49609375), ('drei', 3.734375), ('Wochen', 2.640625), ('hat', 1.6796875), ('Linda', 3.5625), ('wieder', 4.625), ('ein', 1.7734375), ('selbstgeschriebenes', 2.93743896484375), ('Lied', 0.03076171875), ('gesungen', 1.9501953125), (',', 1.75), ('als', 4.4375), ('sie', 1.34375), ('bei', 3.203125), ('einer', 2.15625), ('Freundin', 4.78076171875), ('daheim', 9.0), ('war', 0.4765625), ('.', 0.76953125)]",1.9501953125
Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",3,aii,bii,2,positive,11,gesungen,69.0,6.25,"[('Vor', 17.49609375), ('drei', 3.734375), ('Wochen', 2.640625), ('hat', 1.6796875), ('Thorsten', 2.7655029296875), ('wieder', 6.25), ('ein', 1.8359375), ('selbstgeschriebenes', 2.63665771484375), ('Lied', 0.03076171875), ('gesungen', 1.90283203125), (',', 2.046875), ('als', 4.4375), ('er', 1.1640625), ('bei', 3.078125), ('einer', 2.34375), ('Freundin', 4.61572265625), ('daheim', 9.203125), ('war', 0.5), ('.', 0.796875)]",1.90283203125
Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.,"Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.",4,ai,bi,1,neutral,12,bekommen,64.5,7.28125,"[('Vor', 16.788330078125), ('vier', 5.46875), ('Tagen', 2.328125), ('hat', 1.1796875), ('Linda', 0.97265625), ('wieder', 7.28125), ('eine', 0.84375), ('rote', 0.431640625), ('Rose', 0.023193359375), ('bekommen', 1.375), (',', 2.9375), ('als', 3.953125), ('sie', 1.5703125), ('zu', 3.84375), ('einem', 2.328125), ('Date', 6.1875), ('verabredet', 6.051239013671875), ('war', 0.023193359375), ('.', 0.86328125)]",1.375
Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.,"Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.",4,ai,bi,2,positive,12,bekommen,66.0,5.03125,"[('Vor', 16.788330078125), ('vier', 5.46875), ('Tagen', 2.328125), ('hat', 1.1796875), ('Karl', 3.34375), ('wieder', 5.03125), ('eine', 1.1171875), ('rote', 0.546875), ('Rose', 0.023193359375), ('bekommen', 2.40625), (',', 2.859375), ('als', 3.859375), ('er', 2.0625), ('zu', 3.375), ('einem', 2.625), ('Date', 6.0625), ('verabredet', 5.961669921875), ('war', 0.03076171875), ('.', 0.8515625)]",2.40625
Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.,"Vor vier Tagen hat Linda wieder eine rote Rose vergeben, als sie zu einem Date verabredet war.",4,ai,bii,1,positive,13,vergeben,74.5,7.28125,"[('Vor', 16.788330078125), ('vier', 5.46875), ('Tagen', 2.328125), ('hat', 1.1796875), ('Linda', 0.97265625), ('wieder', 7.28125), ('eine', 0.84375), ('rote', 0.431640625), ('Rose', 0.023193359375), ('vergeben', 12.03125), (',', 2.453125), ('als', 3.6875), ('sie', 1.0), ('zu', 3.90625), ('einem', 2.1875), ('Date', 7.25), ('verabredet', 5.835296630859375), ('war', 0.023193359375), ('.', 0.859375)]",12.03125
Vorletzte Woche hat Linda Karl eine rote Rose geschenkt.,"Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.",4,ai,bii,2,neutral,13,vergeben,74.0,5.03125,"[('Vor', 16.788330078125), ('vier', 5.46875), ('Tagen', 2.328125), ('hat', 1.1796875), ('Karl', 3.34375), ('wieder', 5.03125), ('eine', 1.1171875), ('rote', 0.546875), ('Rose', 0.023193359375), ('vergeben', 10.84375), (',', 2.375), ('als', 3.59375), ('er', 1.4609375), ('zu', 4.0), ('einem', 2.6875), ('Date', 6.84375), ('verabredet', 5.660980224609375), ('war', 0.03076171875), ('.', 0.83203125)]",10.84375
Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.,"Vor vier Tagen hat Linda wieder eine rote Rose bekommen, als sie zu einem Date verabredet war.",4,aii,bi,1,positive,14,bekommen,66.0,6.15625,"[('Vor', 16.913330078125), ('vier', 5.40625), ('Tagen', 2.203125), ('hat', 1.03125), ('Linda', 1.9765625), ('wieder', 6.15625), ('eine', 1.8125), ('rote', 0.42578125), ('Rose', 0.023193359375), ('bekommen', 1.453125), (',', 2.84375), ('als', 3.78125), ('sie', 2.09375), ('zu', 4.09375), ('einem', 2.1875), ('Date', 6.28125), ('verabredet', 6.238983154296875), ('war', 0.023193359375), ('.', 0.94140625)]",1.453125
Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.,"Vor vier Tagen hat Karl wieder eine rote Rose bekommen, als er zu einem Date verabredet war.",4,aii,bi,2,neutral,14,bekommen,66.5,6.84375,"[('Vor', 16.913330078125), ('vier', 5.40625), ('Tagen', 2.203125), ('hat', 1.03125), ('Karl', 0.9765625), ('wieder', 6.84375), ('eine', 0.98828125), ('rote', 0.546875), ('Rose', 0.023193359375), ('bekommen', 3.359375), (',', 2.796875), ('als', 4.03125), ('er', 2.390625), ('zu', 3.59375), ('einem', 2.78125), ('Date', 5.8125), ('verabredet', 5.887451171875), ('war', 0.03076171875), ('.', 0.859375)]",3.359375
Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.,"Vor vier Tagen hat Linda wieder eine rote Rose vergeben, als sie zu einem Date verabredet war.",4,aii,bii,1,neutral,15,vergeben,75.5,6.15625,"[('Vor', 16.913330078125), ('vier', 5.40625), ('Tagen', 2.203125), ('hat', 1.03125), ('Linda', 1.9765625), ('wieder', 6.15625), ('eine', 1.8125), ('rote', 0.42578125), ('Rose', 0.023193359375), ('vergeben', 11.6875), (',', 2.34375), ('als', 3.609375), ('sie', 1.359375), ('zu', 4.3125), ('einem', 2.03125), ('Date', 7.375), ('verabredet', 6.119964599609375), ('war', 0.023193359375), ('.', 0.86328125)]",11.6875
Vorletzte Woche hat Karl Linda eine rote Rose geschenkt.,"Vor vier Tagen hat Karl wieder eine rote Rose vergeben, als er zu einem Date verabredet war.",4,aii,bii,2,positive,15,vergeben,73.5,6.84375,"[('Vor', 16.913330078125), ('vier', 5.40625), ('Tagen', 2.203125), ('hat', 1.03125), ('Karl', 0.9765625), ('wieder', 6.84375), ('eine', 0.98828125), ('rote', 0.546875), ('Rose', 0.023193359375), ('vergeben', 10.75), (',', 2.296875), ('als', 3.828125), ('er', 1.4765625), ('zu', 4.15625), ('einem', 2.9375), ('Date', 6.625), ('verabredet', 5.5999755859375), ('war', 0.023193359375), ('.', 0.84375)]",10.75
Vor drei Wochen hat Linda Greta einen langen Brief geschrieben.,"Vor einer Woche hat Greta wieder einen langen Brief empfangen, weil sie auf eine Anzeige geantwortet hat.",5,ai,bi,1,positive,16,empfangen,65.0,5.875,"[('Vor', 16.97900390625), ('einer', 2.703125), ('Woche', 0.0458984375), ('hat', 0.486328125), ('Greta', 1.890625), ('wieder', 5.875), ('einen', 1.0703125), ('langen', 2.546875), ('Brief', 0.007781982421875), ('empfangen', 8.648284912109375), (',', 2.96875), ('weil', 3.796875), ('sie', 1.8125), ('auf', 4.9375), ('eine', 2.859375), ('Anzeige', 6.234375), ('geantwortet', 0.578125), ('hat', 0.294921875), ('.', 1.3984375)]",8.648284912109375
Vor drei Wochen hat Linda Greta einen langen Brief geschrieben.,"Vor einer Woche hat Linda wieder einen langen Brief empfangen, weil sie auf eine Anzeige geantwortet hat.",5,ai,bi,2,neutral,16,empfangen,64.0,6.46875,"[('Vor', 16.97900390625), ('einer', 2.703125), ('Woche', 0.0458984375), ('hat', 0.486328125), ('Linda', 1.890625), ('wieder', 6.46875), ('einen', 0.91015625), ('langen', 2.21875), ('Brief', 0.007781982421875), ('empfangen', 9.0780029296875), (',', 3.0625), ('weil', 3.734375), ('sie', 1.4375), ('auf', 4.6875), ('eine', 2.5), ('Anzeige', 5.34375), ('geantwortet', 0.64453125), ('hat', 0.2890625), ('.', 1.4765625)]",9.0780029296875
Vor drei Wochen hat Linda Greta einen langen Brief geschrieben.,"Vor einer Woche hat Greta wieder einen langen Brief verfasst, weil sie auf eine Anzeige geantwortet hat.",5,ai,bii,1,neutral,17,verfasst,66.0,5.875,"[('Vor', 16.97900390625), ('einer', 2.703125), ('Woche', 0.0458984375), ('hat', 0.486328125), ('Greta', 1.890625), ('wieder', 5.875), ('einen', 1.0703125), ('langen', 2.546875), ('Brief', 0.007781982421875), ('verfasst', 7.70947265625), (',', 3.046875), ('weil', 3.71875), ('sie', 1.28125), ('auf', 5.625), ('eine', 2.5), ('Anzeige', 7.734375), ('geantwortet', 1.15618896484375), ('hat', 0.1455078125), ('.', 1.2890625)]",7.70947265625
Vor drei Wochen hat Linda Greta einen langen Brief geschrieben.,"Vor einer Woche hat Linda wieder einen langen Brief verfasst, weil sie auf eine Anzeige geantwortet hat.",5,ai,bii,2,positive,17,verfasst,65.0,6.46875,"[('Vor', 16.97900390625), ('einer', 2.703125), ('Woche', 0.0458984375), ('hat', 0.486328125), ('Linda', 1.890625), ('wieder', 6.46875), ('einen', 0.91015625), ('langen', 2.21875), ('Brief', 0.007781982421875), ('verfasst', 8.1708984375), (',', 3.03125), ('weil', 3.5625), ('sie', 0.7890625), ('auf', 5.625), ('eine', 2.28125), ('Anzeige', 7.375), ('geantwortet', 1.109344482421875), ('hat', 0.12451171875), ('.', 1.3984375)]",8.1708984375
Vor drei Wochen hat Greta Linda einen langen Brief geschrieben.,"Vor einer Woche hat Greta wieder einen langen Brief empfangen, weil sie auf eine Anzeige geantwortet hat.",5,aii,bi,1,neutral,18,empfangen,66.0,6.6875,"[('Vor', 17.0400390625), ('einer', 2.875), ('Woche', 0.0458984375), ('hat', 0.65625), ('Greta', 1.265594482421875), ('wieder', 6.6875), ('einen', 1.2734375), ('langen', 2.21875), ('Brief', 0.007781982421875), ('empfangen', 8.8905029296875), (',', 2.875), ('weil', 3.765625), ('sie', 1.90625), ('auf', 4.5), ('eine', 2.71875), ('Anzeige', 6.84375), ('geantwortet', 0.78125), ('hat', 0.294921875), ('.', 1.2734375)]",8.8905029296875
Vor drei Wochen hat Greta Linda einen langen Brief geschrieben.,"Vor einer Woche hat Linda wieder einen langen Brief empfangen, weil sie auf eine Anzeige geantwortet hat.",5,aii,bi,2,positive,18,empfangen,64.0,6.03125,"[('Vor', 17.0400390625), ('einer', 2.875), ('Woche', 0.0458984375), ('hat', 0.65625), ('Linda', 1.9453125), ('wieder', 6.03125), ('einen', 1.3671875), ('langen', 2.25), ('Brief', 0.007781982421875), ('empfangen', 8.070281982421875), (',', 2.78125), ('weil', 3.796875), ('sie', 1.625), ('auf', 4.53125), ('eine', 2.75), ('Anzeige', 5.859375), ('geantwortet', 0.77734375), ('hat', 0.32421875), ('.', 1.2578125)]",8.070281982421875
