id,premises,target_sentence,conclusion,gold_label,item_id,context,target,brace,condition,response_option,target_inferred,target_note,role_note,meta-llama/Llama-3.1-8B-Instruct_pred_label,meta-llama/Llama-3.1-8B-Instruct_p_entailment,meta-llama/Llama-3.1-8B-Instruct_p_neutral,meta-llama/Llama-3.1-8B-Instruct_p_contradiction
1_aii_bi1_once_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe erhalten.,entailment,1,aii,bi,1,neutral,once,False,,,entailment,0.8538,0.0108,0.1354
1_aii_bi1_twice_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe erhalten.,unknown,1,aii,bi,1,neutral,twice,False,,,entailment,0.9131,0.0049,0.082
1_aii_bi1_cannot_say_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.",unknown,1,aii,bi,1,neutral,cannot say,False,,,neutral,0.1187,0.6214,0.2599
1_aii_bi2_once_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe erhalten.,unknown,1,aii,bi,2,positive,once,False,,,entailment,0.8343,0.0218,0.144
1_aii_bi2_twice_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe erhalten.,entailment,1,aii,bi,2,positive,twice,False,,,entailment,0.8939,0.0099,0.0962
1_aii_bi2_cannot_say_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.",unknown,1,aii,bi,2,positive,cannot say,False,,,neutral,0.1206,0.6271,0.2524
1_aii_bii1_once_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe besorgt.,unknown,1,aii,bii,1,positive,once,False,,,entailment,0.9041,0.0047,0.0911
1_aii_bii1_twice_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe besorgt.,entailment,1,aii,bii,1,positive,twice,False,,,entailment,0.9399,0.0013,0.0588
1_aii_bii1_cannot_say_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.",unknown,1,aii,bii,1,positive,cannot say,False,,,neutral,0.1274,0.6481,0.2246
1_aii_bii2_once_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe besorgt.,entailment,1,aii,bii,2,neutral,once,False,,,entailment,0.8921,0.0077,0.1002
1_aii_bii2_twice_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe besorgt.,unknown,1,aii,bii,2,neutral,twice,False,,,entailment,0.9333,0.0024,0.0643
1_aii_bii2_cannot_say_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.",unknown,1,aii,bii,2,neutral,cannot say,False,,,neutral,0.1273,0.6483,0.2244
2_ai_bi1_once_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk empfangen.,unknown,2,ai,bi,1,positive,once,False,,,entailment,0.7246,0.0594,0.216
2_ai_bi1_twice_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk empfangen.,entailment,2,ai,bi,1,positive,twice,False,,,entailment,0.8158,0.0351,0.1491
2_ai_bi1_cannot_say_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk empfangen hat.",unknown,2,ai,bi,1,positive,cannot say,False,,,neutral,0.0845,0.6241,0.2915
2_ai_bi2_once_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk empfangen.,entailment,2,ai,bi,2,neutral,once,False,,,entailment,0.7478,0.0795,0.1726
2_ai_bi2_twice_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk empfangen.,unknown,2,ai,bi,2,neutral,twice,False,,,entailment,0.8629,0.0227,0.1144
2_ai_bi2_cannot_say_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk empfangen hat.",unknown,2,ai,bi,2,neutral,cannot say,False,,,neutral,0.0909,0.6215,0.2876
2_ai_bii1_once_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk gemacht.,entailment,2,ai,bii,1,neutral,once,False,,,entailment,0.8084,0.0268,0.1648
2_ai_bii1_twice_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk gemacht.,unknown,2,ai,bii,1,neutral,twice,False,,,entailment,0.8594,0.0182,0.1223
2_ai_bii1_cannot_say_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk gemacht hat.",unknown,2,ai,bii,1,neutral,cannot say,False,,,neutral,0.098,0.5937,0.3082
2_ai_bii2_once_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk gemacht.,unknown,2,ai,bii,2,positive,once,False,,,entailment,0.8122,0.0439,0.1439
2_ai_bii2_twice_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk gemacht.,entailment,2,ai,bii,2,positive,twice,False,,,entailment,0.8968,0.013,0.0902
2_ai_bii2_cannot_say_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk gemacht hat.",unknown,2,ai,bii,2,positive,cannot say,False,,,neutral,0.0994,0.6112,0.2894
2_aii_bi1_once_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk empfangen.,entailment,2,aii,bi,1,neutral,once,False,,,entailment,0.7049,0.1069,0.1882
2_aii_bi1_twice_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk empfangen.,unknown,2,aii,bi,1,neutral,twice,False,,,entailment,0.8441,0.0325,0.1235
2_aii_bi1_cannot_say_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk empfangen hat.",unknown,2,aii,bi,1,neutral,cannot say,False,,,neutral,0.0893,0.6502,0.2605
2_aii_bi2_once_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk empfangen.,unknown,2,aii,bi,2,positive,once,False,,,entailment,0.743,0.1016,0.1553
2_aii_bi2_twice_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk empfangen.,entailment,2,aii,bi,2,positive,twice,False,,,entailment,0.8671,0.0297,0.1032
2_aii_bi2_cannot_say_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk empfangen hat.",unknown,2,aii,bi,2,positive,cannot say,False,,,neutral,0.0898,0.6245,0.2858
2_aii_bii1_once_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk gemacht.,unknown,2,aii,bii,1,positive,once,False,,,entailment,0.7924,0.055,0.1526
2_aii_bii1_twice_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk gemacht.,entailment,2,aii,bii,1,positive,twice,False,,,entailment,0.8841,0.0146,0.1013
2_aii_bii1_cannot_say_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk gemacht hat.",unknown,2,aii,bii,1,positive,cannot say,False,,,neutral,0.0999,0.6316,0.2685
2_aii_bii2_once_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk gemacht.,entailment,2,aii,bii,2,neutral,once,False,,,entailment,0.8116,0.0633,0.125
2_aii_bii2_twice_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk gemacht.,unknown,2,aii,bii,2,neutral,twice,False,,,entailment,0.9012,0.0191,0.0797
2_aii_bii2_cannot_say_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk gemacht hat.",unknown,2,aii,bii,2,neutral,cannot say,False,,,neutral,0.099,0.6258,0.2752
3_ai_bi1_once_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gehört.,entailment,3,ai,bi,1,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.4525,0.3713,0.1762
3_ai_bi1_twice_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,unknown,3,ai,bi,1,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.7039,0.1689,0.1272
3_ai_bi1_cannot_say_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehört hat.",unknown,3,ai,bi,1,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1054,0.572,0.3226
3_ai_bi2_once_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gehört.,unknown,3,ai,bi,2,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.4404,0.3553,0.2043
3_ai_bi2_twice_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,entailment,3,ai,bi,2,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.6849,0.1634,0.1516
3_ai_bi2_cannot_say_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehört hat.",unknown,3,ai,bi,2,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1038,0.5523,0.344
3_ai_bii1_once_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gesungen.,unknown,3,ai,bii,1,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.7756,0.0824,0.142
3_ai_bii1_twice_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,entailment,3,ai,bii,1,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.8919,0.0163,0.0918
3_ai_bii1_cannot_say_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.",unknown,3,ai,bii,1,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1118,0.5733,0.3149
3_ai_bii2_once_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.,entailment,3,ai,bii,2,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.7413,0.0885,0.1703
3_ai_bii2_twice_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,unknown,3,ai,bii,2,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.8621,0.0257,0.1121
3_ai_bii2_cannot_say_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gesungen hat.",unknown,3,ai,bii,2,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1074,0.5654,0.3272
3_aii_bi1_once_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gehört.,unknown,3,aii,bi,1,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.434,0.4114,0.1546
3_aii_bi1_twice_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,entailment,3,aii,bi,1,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.6711,0.2225,0.1065
3_aii_bi1_cannot_say_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehört hat.",unknown,3,aii,bi,1,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1055,0.5715,0.323
3_aii_bi2_once_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gehört.,entailment,3,aii,bi,2,neutral,once,False,,Linda/Thorsten: agent-first braces.,neutral,0.4057,0.4062,0.1881
3_aii_bi2_twice_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,unknown,3,aii,bi,2,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.6718,0.2029,0.1253
3_aii_bi2_cannot_say_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehört hat.",unknown,3,aii,bi,2,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1076,0.5487,0.3437
3_aii_bii1_once_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gesungen.,entailment,3,aii,bii,1,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.7422,0.1426,0.1152
3_aii_bii1_twice_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,unknown,3,aii,bii,1,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.8898,0.0307,0.0795
3_aii_bii1_cannot_say_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.",unknown,3,aii,bii,1,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.1135,0.583,0.3035
3_aii_bii2_once_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.,unknown,3,aii,bii,2,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.7438,0.0994,0.1568
3_aii_bii2_twice_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,entailment,3,aii,bii,2,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.8769,0.0267,0.0964
