id,premises,target_sentence,conclusion,gold_label,item_id,context,target,brace,condition,response_option,target_inferred,target_note,role_note,google/gemma-3-12b-it_pred_label,google/gemma-3-12b-it_p_entailment,google/gemma-3-12b-it_p_neutral,google/gemma-3-12b-it_p_contradiction
1_aii_bi2_once_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe erhalten.,unknown,1,aii,bi,2,positive,once,False,,,entailment,0.9998,0.0,0.0001
1_aii_bi2_twice_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe erhalten.,entailment,1,aii,bi,2,positive,twice,False,,,entailment,1.0,0.0,0.0
1_aii_bi2_cannot_say_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.",unknown,1,aii,bi,2,positive,cannot say,False,,,neutral,0.0355,0.9548,0.0097
1_aii_bii1_once_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe besorgt.,unknown,1,aii,bii,1,positive,once,False,,,entailment,0.9996,0.0,0.0003
1_aii_bii1_twice_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe besorgt.,entailment,1,aii,bii,1,positive,twice,False,,,entailment,1.0,0.0,0.0
1_aii_bii1_cannot_say_pos,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.",unknown,1,aii,bii,1,positive,cannot say,False,,,neutral,0.0344,0.9636,0.002
1_aii_bii2_once_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe besorgt.,entailment,1,aii,bii,2,neutral,once,False,,,entailment,0.9999,0.0,0.0001
1_aii_bii2_twice_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe besorgt.,unknown,1,aii,bii,2,neutral,twice,False,,,entailment,1.0,0.0,0.0
1_aii_bii2_cannot_say_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.",unknown,1,aii,bii,2,neutral,cannot say,False,,,neutral,0.0263,0.972,0.0017
2_ai_bi1_once_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk empfangen.,unknown,2,ai,bi,1,positive,once,False,,,entailment,0.9999,0.0,0.0001
2_ai_bi1_twice_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk empfangen.,entailment,2,ai,bi,1,positive,twice,False,,,entailment,1.0,0.0,0.0
2_ai_bi1_cannot_say_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk empfangen hat.",unknown,2,ai,bi,1,positive,cannot say,False,,,neutral,0.0285,0.9699,0.0016
2_ai_bi2_once_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk empfangen.,entailment,2,ai,bi,2,neutral,once,False,,,entailment,0.9999,0.0,0.0001
2_ai_bi2_twice_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk empfangen.,unknown,2,ai,bi,2,neutral,twice,False,,,entailment,1.0,0.0,0.0
2_ai_bi2_cannot_say_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk empfangen hat.",unknown,2,ai,bi,2,neutral,cannot say,False,,,neutral,0.0349,0.963,0.0021
2_ai_bii1_once_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk gemacht.,entailment,2,ai,bii,1,neutral,once,False,,,entailment,0.9999,0.0,0.0001
2_ai_bii1_twice_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk gemacht.,unknown,2,ai,bii,1,neutral,twice,False,,,entailment,1.0,0.0,0.0
2_ai_bii1_cannot_say_neu,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk gemacht hat.",unknown,2,ai,bii,1,neutral,cannot say,False,,,neutral,0.0372,0.9585,0.0043
2_ai_bii2_once_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk gemacht.,unknown,2,ai,bii,2,positive,once,False,,,entailment,1.0,0.0,0.0
2_ai_bii2_twice_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk gemacht.,entailment,2,ai,bii,2,positive,twice,False,,,entailment,1.0,0.0,0.0
2_ai_bii2_cannot_say_pos,Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk gemacht hat.",unknown,2,ai,bii,2,positive,cannot say,False,,,neutral,0.0489,0.9429,0.0082
2_aii_bi1_once_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk empfangen.,entailment,2,aii,bi,1,neutral,once,False,,,entailment,0.9999,0.0,0.0001
2_aii_bi1_twice_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk empfangen.,unknown,2,aii,bi,1,neutral,twice,False,,,entailment,1.0,0.0,0.0
2_aii_bi1_cannot_say_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk empfangen hat.",unknown,2,aii,bi,1,neutral,cannot say,False,,,neutral,0.033,0.9649,0.002
2_aii_bi2_once_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk empfangen.,unknown,2,aii,bi,2,positive,once,False,,,entailment,1.0,0.0,0.0
2_aii_bi2_twice_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk empfangen.,entailment,2,aii,bi,2,positive,twice,False,,,entailment,1.0,0.0,0.0
2_aii_bi2_cannot_say_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk empfangen hat.",unknown,2,aii,bi,2,positive,cannot say,False,,,neutral,0.0358,0.9623,0.0019
2_aii_bii1_once_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat einmal ein schönes Geschenk gemacht.,unknown,2,aii,bii,1,positive,once,False,,,entailment,1.0,0.0,0.0
2_aii_bii1_twice_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",Timo hat mindestens zweimal ein schönes Geschenk gemacht.,entailment,2,aii,bii,1,positive,twice,False,,,entailment,1.0,0.0,0.0
2_aii_bii1_cannot_say_pos,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Timo ein schönes Geschenk gemacht hat.",unknown,2,aii,bii,1,positive,cannot say,False,,,neutral,0.0471,0.9453,0.0077
2_aii_bii2_once_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat einmal ein schönes Geschenk gemacht.,entailment,2,aii,bii,2,neutral,once,False,,,entailment,1.0,0.0,0.0
2_aii_bii2_twice_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",Linda hat mindestens zweimal ein schönes Geschenk gemacht.,unknown,2,aii,bii,2,neutral,twice,False,,,entailment,1.0,0.0,0.0
2_aii_bii2_cannot_say_neu,Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.","Es lässt sich nicht sagen, wie oft Linda ein schönes Geschenk gemacht hat.",unknown,2,aii,bii,2,neutral,cannot say,False,,,neutral,0.0334,0.9623,0.0043
3_ai_bi1_once_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gehört.,entailment,3,ai,bi,1,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_ai_bi1_twice_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,unknown,3,ai,bi,1,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_ai_bi1_cannot_say_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehört hat.",unknown,3,ai,bi,1,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0252,0.974,0.0008
3_ai_bi2_once_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gehört.,unknown,3,ai,bi,2,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_ai_bi2_twice_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,entailment,3,ai,bi,2,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_ai_bi2_cannot_say_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehört hat.",unknown,3,ai,bi,2,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0253,0.9741,0.0006
3_ai_bii1_once_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gesungen.,unknown,3,ai,bii,1,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_ai_bii1_twice_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,entailment,3,ai,bii,1,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_ai_bii1_cannot_say_pos,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.",unknown,3,ai,bii,1,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0395,0.9377,0.0228
3_ai_bii2_once_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.,entailment,3,ai,bii,2,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_ai_bii2_twice_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,unknown,3,ai,bii,2,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_ai_bii2_cannot_say_neu,Letztes Jahr hat Linda Thorsten ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gesungen hat.",unknown,3,ai,bii,2,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0345,0.9283,0.0371
3_aii_bi1_once_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gehört.,unknown,3,aii,bi,1,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_aii_bi1_twice_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,entailment,3,aii,bi,1,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_aii_bi1_cannot_say_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gehört, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gehört hat.",unknown,3,aii,bi,1,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0252,0.9742,0.0006
3_aii_bi2_once_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gehört.,entailment,3,aii,bi,2,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_aii_bi2_twice_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gehört.,unknown,3,aii,bi,2,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,0.9999,0.0,0.0001
3_aii_bi2_cannot_say_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gehört, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gehört hat.",unknown,3,aii,bi,2,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0274,0.972,0.0006
3_aii_bii1_once_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat einmal ein selbstgeschriebenes Lied gesungen.,entailment,3,aii,bii,1,neutral,once,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_aii_bii1_twice_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.",Linda hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,unknown,3,aii,bii,1,neutral,twice,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_aii_bii1_cannot_say_neu,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Linda wieder ein selbstgeschriebenes Lied gesungen, als sie bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Linda ein selbstgeschriebenes Lied gesungen hat.",unknown,3,aii,bii,1,neutral,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.0383,0.9477,0.0139
3_aii_bii2_once_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat einmal ein selbstgeschriebenes Lied gesungen.,unknown,3,aii,bii,2,positive,once,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_aii_bii2_twice_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.",Thorsten hat mindestens zweimal ein selbstgeschriebenes Lied gesungen.,entailment,3,aii,bii,2,positive,twice,False,,Linda/Thorsten: agent-first braces.,entailment,1.0,0.0,0.0
3_aii_bii2_cannot_say_pos,Letztes Jahr hat Thorsten Linda ein selbstgeschriebenes Lied vorgesungen.,"Vor drei Wochen hat Thorsten wieder ein selbstgeschriebenes Lied gesungen, als er bei einer Freundin daheim war.","Es lässt sich nicht sagen, wie oft Thorsten ein selbstgeschriebenes Lied gesungen hat.",unknown,3,aii,bii,2,positive,cannot say,False,,Linda/Thorsten: agent-first braces.,neutral,0.045,0.904,0.051
